classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
RBF SVM,0.7777777777777777,0.005834986538222224,0.7730801191460075,0.005560767708286902,0.7863888888888889,0.007961617026648066,0.7796651094504845,0.006092064296706371,0.861125,0.0051168626598993155
MLP,0.7760416666666667,0.006558732751732004,0.7695978232200797,0.014521688955512271,0.7891666666666666,0.025071656565990277,0.7788210925004727,0.008274855688778981,0.8590795717592592,0.008703659179616395
Random Forest,0.7661111111111112,0.005286907308520625,0.7710777361648055,0.007181725336911754,0.7570833333333333,0.008361064968495792,0.7639735135786802,0.005325955364952263,0.8471935281635803,0.006478429085654048
Extra Trees,0.7568055555555555,0.003455515362395734,0.7564719402999774,0.0041646618506416145,0.7575000000000001,0.006201975989379483,0.7569672983216063,0.0037338118877180155,0.8426924189814816,0.0067982322269491266
Gradient Boosting,0.7502777777777777,0.00789776007470034,0.7477842517817695,0.010058384965231877,0.7555555555555555,0.009986487784581987,0.7515905956217901,0.007489032414361172,0.8306245177469137,0.007014590475008329
Linear SVM,0.7271527777777778,0.0058531409738070556,0.7122244385899202,0.005775062885192574,0.762361111111111,0.007288689868556645,0.7364280255735579,0.005756437781093616,0.7996396604938271,0.009323111748122764
Logistic Regression,0.7258333333333333,0.004809247136994681,0.7148776815943281,0.004927932728077409,0.7513888888888889,0.009118137534538776,0.7326470942956684,0.005335807278452818,0.7992563657407408,0.009348276153916278
KNN,0.7271527777777779,0.001956805944945188,0.7183486838278565,0.0021867137841747658,0.7473611111111111,0.007849372861636004,0.7325390039636973,0.003257970641047764,0.7933805941358025,0.005662645124753275
Gaussian NB,0.6666666666666667,0.0055598941392356015,0.6568339112778798,0.006765633957040309,0.6983333333333333,0.011936366777702996,0.6768688553796979,0.0059162092011593986,0.7122191358024692,0.006683098708656485
