classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,fit_time_sec
RBF SVM,0.7779166666666667,0.006806264135447692,0.7723206749888318,0.006300408246957127,0.7881944444444444,0.00916035135991175,0.7801626367076956,0.007091348017213503,0.8608299575617284,0.005219901241122592,55.3060736656189
MLP,0.7789583333333333,0.005699523480189777,0.7716929859336605,0.007136876927084478,0.7925000000000001,0.011958970495349594,0.7818847477747475,0.006209954443945295,0.8594058641975308,0.005200871936323774,22.307554960250854
Random Forest,0.7645833333333334,0.005437105314184291,0.7690110330646955,0.008332898962960604,0.7565277777777777,0.0042718212497860125,0.7626876710220187,0.0044786063885158146,0.8465172646604937,0.005604827149058709,9.033830642700195
Extra Trees,0.7594444444444445,0.00494666772736334,0.759028119469934,0.009082868984203303,0.7605555555555555,0.0062638734909887285,0.7597265219702036,0.003480343250036096,0.8440135513117285,0.005677951435173496,2.5524327754974365
Gradient Boosting,0.7493749999999999,0.006673173907519583,0.746175663446526,0.007236119860790731,0.7559722222222222,0.010754700379225532,0.7509976730424187,0.007089790830576419,0.8312065007716049,0.007006221903805879,22.86585235595703
Linear SVM,0.7272916666666667,0.005724851068201375,0.712297541804139,0.005585297298791641,0.7626388888888889,0.007471654253507109,0.7365958677392473,0.00570463699388573,0.7996476658950618,0.009323335471065364,79.0488383769989
Logistic Regression,0.7259027777777778,0.004471488897779253,0.714860249904178,0.004671345041820511,0.7516666666666667,0.00905018586535825,0.7327686402282227,0.005058860166123978,0.7991934799382716,0.00930355858757237,2.3655292987823486
KNN,0.7274305555555556,0.002000675040401091,0.7181594979973778,0.002143282409299051,0.74875,0.010019271553817466,0.7330892513156192,0.003968836419160811,0.7931564911265432,0.004763274714267444,0.8496267795562744
Gaussian NB,0.6664583333333333,0.004100163727534841,0.6624476112526282,0.006243936771902957,0.6791666666666666,0.011760535072231392,0.6706100303625906,0.004801922518647575,0.7107732445987656,0.006358967596315615,0.15770530700683594
