threshold,fpr,tpr
inf,0.0,0.0
0.9999946866265463,0.0,0.0005555555555555556
0.9979942884441777,0.0,0.006111111111111111
0.9978695594155622,0.0005555555555555556,0.006111111111111111
0.9895496038463435,0.0005555555555555556,0.030555555555555555
0.9892685964407322,0.0011111111111111111,0.030555555555555555
0.9857706397331317,0.0011111111111111111,0.041666666666666664
0.985731449143216,0.0016666666666666668,0.041666666666666664
0.9674789273293621,0.0016666666666666668,0.09333333333333334
0.9672771075872539,0.0022222222222222222,0.09333333333333334
0.9660426994764237,0.0022222222222222222,0.09833333333333333
0.9658648572325852,0.002777777777777778,0.09833333333333333
0.9552332907261305,0.002777777777777778,0.13111111111111112
0.9550644870118808,0.0033333333333333335,0.13111111111111112
0.9460792902051263,0.0033333333333333335,0.15944444444444444
0.9457766695418808,0.0038888888888888888,0.15944444444444444
0.9457624287005333,0.0038888888888888888,0.16
0.9456021707132549,0.0044444444444444444,0.16
0.9418129528032092,0.0044444444444444444,0.17222222222222222
0.9417752934751227,0.005,0.17222222222222222
0.9404783298545815,0.005,0.17555555555555555
0.9404736723004986,0.005555555555555556,0.17555555555555555
0.9398033716677152,0.005555555555555556,0.17833333333333334
0.9397032047550992,0.006111111111111111,0.17833333333333334
0.9357172841391462,0.006111111111111111,0.1938888888888889
0.9355979238652083,0.007222222222222222,0.1938888888888889
0.9354798140192087,0.007222222222222222,0.19444444444444445
0.9354687518966454,0.0077777777777777776,0.19444444444444445
0.9297612879248511,0.0077777777777777776,0.21055555555555555
0.929749688628745,0.008333333333333333,0.21055555555555555
0.9233873029364602,0.008333333333333333,0.22722222222222221
0.923251142589574,0.008888888888888889,0.22722222222222221
0.921187246272162,0.008888888888888889,0.23277777777777778
0.9210722199416648,0.009444444444444445,0.23277777777777778
0.920691767212909,0.009444444444444445,0.2338888888888889
0.9204897989274283,0.010555555555555556,0.2338888888888889
0.9169969060422447,0.010555555555555556,0.24388888888888888
0.9168856790112645,0.011111111111111112,0.24388888888888888
0.916831394088931,0.011111111111111112,0.245
0.9167872284954229,0.011666666666666667,0.245
0.9158354675706882,0.011666666666666667,0.24555555555555555
0.9156995241914606,0.012222222222222223,0.24555555555555555
0.9131852190711317,0.012222222222222223,0.25277777777777777
0.9130756323985596,0.012777777777777779,0.25277777777777777
0.9118680723102408,0.012777777777777779,0.2561111111111111
0.9117337440016186,0.013333333333333334,0.2561111111111111
0.9111873529355379,0.013333333333333334,0.2577777777777778
0.9111494174408754,0.013888888888888888,0.2577777777777778
0.9010502965801476,0.013888888888888888,0.2822222222222222
0.9008874954639124,0.014444444444444444,0.2822222222222222
0.8927897219617936,0.014444444444444444,0.3011111111111111
0.8924619420360144,0.015,0.3011111111111111
0.8908347022958083,0.015,0.3061111111111111
0.8901961854144074,0.01611111111111111,0.3061111111111111
0.8877223560569578,0.01611111111111111,0.31166666666666665
0.8876833265409996,0.016666666666666666,0.31166666666666665
0.8853671335216853,0.016666666666666666,0.32055555555555554
0.8850194723933331,0.017222222222222222,0.32055555555555554
0.8843515031606853,0.017222222222222222,0.32166666666666666
0.8842577815108728,0.017777777777777778,0.32166666666666666
0.8821708655477264,0.017777777777777778,0.32722222222222225
0.8815362956261362,0.018333333333333333,0.32722222222222225
0.8814913318754243,0.018333333333333333,0.3283333333333333
0.8814060011129972,0.01888888888888889,0.3283333333333333
0.8811000389647111,0.01888888888888889,0.33055555555555555
0.8809952348986566,0.02,0.33055555555555555
0.8794445347888492,0.02,0.3338888888888889
0.8791765177509399,0.020555555555555556,0.3338888888888889
0.8757964215257789,0.020555555555555556,0.3411111111111111
0.8752505200204013,0.021111111111111112,0.3411111111111111
0.8737183779320461,0.021111111111111112,0.34555555555555556
0.873687211309539,0.021666666666666667,0.34555555555555556
0.8704602037350776,0.021666666666666667,0.35444444444444445
0.8703199371412665,0.02277777777777778,0.35444444444444445
0.8692492101486368,0.02277777777777778,0.3572222222222222
0.8692029314495424,0.023333333333333334,0.3572222222222222
0.8683079034713663,0.023333333333333334,0.36
0.8682230074436698,0.02388888888888889,0.36
0.8674146674931862,0.02388888888888889,0.36277777777777775
0.8670067523310134,0.024444444444444446,0.36277777777777775
0.8652267515716952,0.024444444444444446,0.3661111111111111
0.8650420770909062,0.025,0.3661111111111111
0.8646028510886374,0.025,0.36666666666666664
0.8645491884477801,0.025555555555555557,0.36666666666666664
0.8635247391097838,0.025555555555555557,0.36833333333333335
0.8634170465106773,0.026111111111111113,0.36833333333333335
0.8622270022238779,0.026111111111111113,0.37444444444444447
0.8621933361898596,0.02666666666666667,0.37444444444444447
0.8598102804430653,0.02666666666666667,0.3811111111111111
0.8596482974511079,0.02722222222222222,0.3811111111111111
0.8585268832296514,0.02722222222222222,0.3838888888888889
0.8584926931929143,0.027777777777777776,0.3838888888888889
0.8560098820536229,0.027777777777777776,0.3938888888888889
0.854797961241568,0.028333333333333332,0.3938888888888889
0.8538237674680181,0.028333333333333332,0.3972222222222222
0.8534008091602459,0.028888888888888888,0.3972222222222222
0.8531659639668259,0.028888888888888888,0.3977777777777778
0.8530800533753766,0.029444444444444443,0.3977777777777778
0.8529629859489057,0.029444444444444443,0.3983333333333333
0.8529058335836176,0.03,0.3983333333333333
0.8506583948400035,0.03,0.40055555555555555
0.8494092877900242,0.030555555555555555,0.40055555555555555
0.8435270952230378,0.030555555555555555,0.40944444444444444
0.8433622199061249,0.03111111111111111,0.40944444444444444
0.8429448131500059,0.03111111111111111,0.4116666666666667
0.8420737544667287,0.03166666666666667,0.4116666666666667
0.8418322414764513,0.03166666666666667,0.4127777777777778
