threshold,fpr,tpr
inf,0.0,0.0
0.9999999999999775,0.0,0.0005555555555555556
0.9999999768875284,0.0,0.005555555555555556
0.9999999762038135,0.0005555555555555556,0.005555555555555556
0.9999944214670389,0.0005555555555555556,0.03
0.9999944145173181,0.0011111111111111111,0.03
0.9999919118934271,0.0011111111111111111,0.035555555555555556
0.9999919062500223,0.0016666666666666668,0.035555555555555556
0.9999769527286307,0.0016666666666666668,0.05277777777777778
0.999975636889678,0.0022222222222222222,0.05277777777777778
0.9999698576376866,0.0022222222222222222,0.058888888888888886
0.9999688160553256,0.002777777777777778,0.058888888888888886
0.9999602150021186,0.002777777777777778,0.0661111111111111
0.9999598258031347,0.0033333333333333335,0.0661111111111111
0.9999414748082222,0.0033333333333333335,0.07555555555555556
0.9999409235271054,0.0038888888888888888,0.07555555555555556
0.9998949433923034,0.0038888888888888888,0.09277777777777778
0.9998898398262654,0.0044444444444444444,0.09277777777777778
0.9998482583099675,0.0044444444444444444,0.10277777777777777
0.9998480735896196,0.005,0.10277777777777777
0.9998260670702313,0.005,0.10611111111111111
0.9998254952012526,0.005555555555555556,0.10611111111111111
0.9998144813633297,0.005555555555555556,0.10722222222222222
0.9998129736335183,0.006111111111111111,0.10722222222222222
0.999780564787267,0.006111111111111111,0.11166666666666666
0.9997773458615574,0.006666666666666667,0.11166666666666666
0.999646482425515,0.006666666666666667,0.1238888888888889
0.9996368089170216,0.007222222222222222,0.1238888888888889
0.9993054596686113,0.007222222222222222,0.14666666666666667
0.999285642285222,0.0077777777777777776,0.14666666666666667
0.9990651989261528,0.0077777777777777776,0.15888888888888889
0.9990451219860269,0.008333333333333333,0.15888888888888889
0.998933482497851,0.008333333333333333,0.1638888888888889
0.998845917319374,0.008888888888888889,0.1638888888888889
0.9987966356709765,0.008888888888888889,0.16555555555555557
0.9987960464343245,0.009444444444444445,0.16555555555555557
0.998785869998088,0.009444444444444445,0.16666666666666666
0.9987442127286568,0.01,0.16666666666666666
0.9982150152335216,0.01,0.18833333333333332
0.9981442453736805,0.011111111111111112,0.18833333333333332
0.9979289314361284,0.011111111111111112,0.1922222222222222
0.9979147672893784,0.011666666666666667,0.1922222222222222
0.9977946744842991,0.011666666666666667,0.19555555555555557
0.9977825350314978,0.012222222222222223,0.19555555555555557
0.9977141799111984,0.012222222222222223,0.19722222222222222
0.997689977922279,0.012777777777777779,0.19722222222222222
0.9975539462091623,0.012777777777777779,0.2
0.997523517684309,0.013333333333333334,0.2
0.9967154475059989,0.013333333333333334,0.22111111111111112
0.996712806652954,0.013888888888888888,0.22111111111111112
0.9966763990653761,0.013888888888888888,0.22166666666666668
0.9966034341170668,0.014444444444444444,0.22166666666666668
0.9964571806192004,0.014444444444444444,0.22611111111111112
0.9963546466966011,0.015,0.22611111111111112
0.9961723304574612,0.015,0.23
0.9961187397257274,0.015555555555555555,0.23
0.9956749941567117,0.015555555555555555,0.23666666666666666
0.99567357216944,0.01611111111111111,0.23666666666666666
0.9947103467711658,0.01611111111111111,0.25166666666666665
0.9946748813837389,0.016666666666666666,0.25166666666666665
0.9945700869004295,0.016666666666666666,0.25277777777777777
0.9943485477247012,0.017777777777777778,0.25277777777777777
0.9942401488524011,0.017777777777777778,0.255
0.9941708142839524,0.01888888888888889,0.255
0.994147126875631,0.01888888888888889,0.25555555555555554
0.9940418850772913,0.019444444444444445,0.25555555555555554
0.9931680996836734,0.019444444444444445,0.26611111111111113
0.9931608727393764,0.02,0.26611111111111113
0.9929963572137721,0.02,0.2688888888888889
0.9929236341742793,0.021111111111111112,0.2688888888888889
0.9922173135478284,0.021111111111111112,0.275
0.9922077562162576,0.021666666666666667,0.275
0.992022611371325,0.021666666666666667,0.2772222222222222
0.9919657045821336,0.022222222222222223,0.2772222222222222
0.991412682434397,0.022222222222222223,0.28444444444444444
0.9912730131374188,0.02277777777777778,0.28444444444444444
0.9911987931901236,0.02277777777777778,0.2861111111111111
0.9911175831200691,0.023333333333333334,0.2861111111111111
0.9910907948661524,0.023333333333333334,0.2872222222222222
0.99108881917601,0.02388888888888889,0.2872222222222222
