Feature,Accuracy (F=0.7547),Precision (F=0.7348),Recall (F=0.7972),F1 (F=0.7647),ROC AUC (F=0.8348)
Laplacian Variance,0.6555555555555556,0.6535087719298246,0.6622222222222223,0.6578366445916115,0.7058441358024692
High Frequency Energy Ratio,0.6422222222222222,0.6584158415841584,0.5911111111111111,0.6229508196721312,0.692229012345679
Log Spectrum Std,0.645,0.6240494296577946,0.7294444444444445,0.6726434426229508,0.6887487654320987
Noise Residual Energy,0.6344444444444445,0.6488314883148831,0.5861111111111111,0.6158785755983655,0.6793901234567901
Max Gradient,0.6305555555555555,0.6491116751269036,0.5683333333333334,0.606042654028436,0.6781645061728394
