model_name,hidden_layer_sizes,alpha,learning_rate_init,max_iter,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,fit_time_mean,score_time_mean,elapsed_time_sec,convergence_warning_count
MLP_Small_alpha_0.0001,"(32,)",0.0001,0.001,300,0.7877083333333333,0.005029810822842191,0.7870190169830709,0.007802667052652384,0.7893055555555556,0.020626753573041088,0.7879307185802624,0.007853920475025372,0.8662393904320987,0.006699341881101548,35.9040548324585,0.039266347885131836,44.60525178909302,0
MLP_Medium_alpha_0.00001,"(64, 32)",1e-05,0.001,300,0.764375,0.00812410963782539,0.7644604822559127,0.019334903349936382,0.7661111111111112,0.028179046150913437,0.7646392195477404,0.00923691107923163,0.8462249228395061,0.00950583103844357,63.053854894638064,0.0358797550201416,78.96437764167786,0
MLP_Medium_alpha_0.001,"(64, 32)",0.001,0.001,300,0.7654861111111112,0.007265495360916974,0.7569052489856115,0.012126246824080287,0.7827777777777778,0.0111665284679121,0.7694873647728195,0.005789691094155432,0.8461099537037036,0.00800654467723553,67.116614484787,0.03507356643676758,74.72245168685913,0
MLP_Medium_alpha_0.0001,"(64, 32)",0.0001,0.001,300,0.7655555555555555,0.00795252599826535,0.7632245019977406,0.022011381669553427,0.7725,0.02756375885958112,0.7670827961560788,0.007135152687848843,0.8439400077160494,0.008526242898219103,64.15044922828675,0.038936805725097653,78.18621730804443,0
MLP_Large_alpha_0.0001,"(128, 64, 32)",0.0001,0.001,300,0.7544444444444445,0.009626012051971009,0.7561340030750862,0.027626026326447055,0.755,0.028872190686917553,0.7545437072139336,0.005396703730601936,0.8319375964506172,0.011971523985230013,56.32913451194763,0.05670032501220703,67.8298192024231,0
